대명에너지|2022/03/16|-|%|-|-%|-|%|예정
지투파워|2022/03/14|-|%|-|-%|-|%|예정
브이씨|2022/02/24|-|%|-|-%|-|%|예정
바이오에프디엔씨|2022/02/21|-|%|28000|-%|-|%|예정
한국스팩10호|2022/02/21|-|%|2000|-%|-|%|예정
인카금융서비스|2022/02/16|-|%|18000|-%|-|%|예정
나래나노텍|2022/02/08|-|%|17500|-%|-|%|예정
아셈스|2022/02/07|-|%|8000|-%|-|%|예정
그린플러스|2019/08/07|14500|5.84%|10000|45%|11150|11.5%|10700
코윈테크|2019/08/05|29450|-2.81%|34500|-14.64%|31050|-10%|21750
덕산테코피아|2019/08/02|29300|-3.30%|19000|54.21%|17100|-10%|15600
슈프리마아이디|2019/08/01|15700|5.02%|27000|-41.85%|34750|28.7%|28000
한국바이오젠|2019/08/01|8410|2.69%|6000|40.17%|12000|100%|13200
세경하이테크|2019/07/30|24550|5.36%|35000|-29.86%|33250|-5%|33350
윌링스|2019/07/25|20700|8.38%|12500|65.6%|22800|82.4%|29600
대모(구.대모엔지니어링)|2019/07/24|4905|3.92%|5200|-5.67%|8710|67.5%|11300
에이스토리|2019/07/19|25550|5.58%|14300|78.67%|12900|-9.79%|-
플리토|2019/07/17|39800|4.60%|26000|53.08%|31600|21.54%|27800
이베스트이안스팩1호|2019/07/15|-|%|2000|%|3040|52%|-
세틀뱅크|2019/07/12|26900|4.47%|55000|-51.09%|49500|-10%|51600
아이스크림에듀|2019/07/11|6260|2.79%|15900|-60.63%|14350|-9.75%|11700
펌텍코리아|2019/07/04|16000|0.95%|190000|-91.58%|171000|-10%|152300
에이에프더블류|2019/07/01|6130|1.66%|22500|-72.76%|28000|24.44%|21750
신영스팩5호|2019/06/24|-|%|2000|%|4000|100%|3740
케이비스팩18호|2019/06/24|-|%|2000|%|2300|15%|2990
신한스팩5호|2019/06/19|-|%|2000|%|3860|93%|2805
압타바이오|2019/06/12|26900|8.03%|30000|-10.33%|50200|67.33%|38900
까스텔바쟉|2019/06/10|9120|6.54%|12000|-24%|17000|41.67%|19250
마이크로디지탈|2019/06/05|15450|9.57%|23000|-32.83%|41050|78.48%|39100
유진스팩4호|2019/05/31|-|%|2000|%|2500|25%|3250
디비금융스팩7호|2019/05/31|-|%|2000|%|2080|4%|2700
수젠텍|2019/05/28|19200|26.32%|12000|60%|11150|-7.08%|10150
컴퍼니케이파트너스|2019/05/23|8370|-2.33%|4500|86%|8200|82.22%|10650
엔에이치스팩14호|2019/05/08|-|%|2000|%|2115|5.75%|2030
에스앤케이|2019/05/07|36950|0.00%|40400|-8.54%|36400|-9.9%|33650
한화에스비아이스팩|2019/05/03|-|%|2000|%|2005|0.25%|2655
