UNLISTED|951345|아론티어|시스템소프트웨어개발및공급업|0억원|2020.07.23
UNLISTED|950011|건민테크|기타비금속광물제품제조업|20억원|2007.11.27
UNLISTED|951342|쓰리빌리언|데이터베이스및온라인정보제공업|0억원|2020.07.21
UNLISTED|073070|에이팸(구.에스모)|자동차신품부품제조업|144억원|2004.01.28
UNLISTED|951343|엘피엔|그외기타분류안된화학제품제조업|0억원|2020.07.22
KOSPI|001440|대한전선|절연금속선및케이블제조업체|4282억원|2002.11.20
UNLISTED|951340|쏘스뮤직|매니저업|0억원|2020.07.20
UNLISTED|951341|쏘우웨이브|기타무선통신장비제조업|0억원|2020.07.20
UNLISTED|950010|평산차업|지주회사|0억원|2007.11.26
UNLISTED|823001|케이티에스테이트|부동산업|0억원|2012.02.03
KOSPI|002710|TCC스틸|도금착색및기타표면처리강재제조업|125억원|2003.09.25
KOSDAQ|043260|성호전자|전자축전기제조업|148억원|2002.09.12
UNLISTED|044590|제일테크|공기조화장치제조업|10억원|2002.06.08
UNLISTED|067230|정우화인|합성염료유연제및기타착색제제조업|35억원|2002.09.15
UNLISTED|068560|우신공업|기타자동차부품제조업|880억원|2003.01.06
UNLISTED|183560|엔알미광텍|지정폐기물수집운반업|13억원|2016.01.04
UNLISTED|169260|한국그린파워|전기용기계장비및관련기자재도매업|5억원|2013.01.03
KOSDAQ|086390|유니테스트|반도체제조용기계제조업|106억원|2005.08.05
UNLISTED|103490|애니모비|데이터베이스및온라인정보제공업|24억원|2010.08.18
UNLISTED|951391|링크프라이스|광고대행업|5억원|2020.08.24
UNLISTED|055250|다휘|산업용오븐노및노용버너제조업|170억원|2002.09.12
UNLISTED|823075|코디박|합금철제조업|32억원|2012.02.03
UNLISTED|807828|미르시스템|인쇄회로기판제조업|0억원|2012.02.03
UNLISTED|950061|바칠라캐빈|선박구성부분품제조업|10억원|2008.01.11
UNLISTED|278410|영리알엠에스|시스템소프트웨어개발및공급업|20억원|2021.03.15
UNLISTED|951390|엘텍|전기용기계장비및관련기자재도매업|0억원|2020.08.21
KOSDAQ|355150|교보스팩10호|기타금융업|5억원|2020.05.27
UNLISTED|951399|자이언트케미칼|기타기초무기화학물질제조업|0억원|2020.08.28
K_OTC|241140|한국지네틱팜|건강기능식품제조업|20억원|2018.05.17
UNLISTED|950066|동문건설|아파트건설업|250억원|2008.01.14
UNLISTED|951397|인코스팜|의약용화합물및항생물질제조업|0억원|2020.08.27
UNLISTED|950069|이그잼|데이터베이스및온라인정보제공업|17억원|2008.01.15
UNLISTED|951398|패스트캠퍼스|기타기술및직업훈련학원|0억원|2020.08.27
UNLISTED|950068|조은담배|담배제조판매업|10억원|2008.01.14
UNLISTED|951396|인벤티지랩|의학및약학연구개발업|0억원|2020.08.27
UNLISTED|950062|에이케이에스앤디(구.에이알디홀딩스)|비주거용건물공급업|2241억원|2008.01.11
UNLISTED|950065|퍼스트에이엔티|기타컴퓨터운영관련업|5억원|2008.01.14
UNLISTED|951394|인트로바이오파마|완제의약품제조업|0억원|2020.08.26
